level,question,option_a,option_b,option_c,correct
초급,나는 ___ 학생입니다.,한,하나,일,한
초급,그는 ___ 학교에 갑니다.,매주,매일,매년,매일
초급,저는 사과를 ___. ,마셔요,입어요,먹어요,먹어요
초급,이것은 ___ 책이에요.,제,저,나,제
초급,지금 몇 ___ 입니까?,분,시,초,시
초급,저는 학교에 ___ 갔어요.,지금,아직,벌써,벌써
초급,이 책은 ___ 재미있어요.,조금,정말,전혀,정말
초급,한국어를 ___ 공부해요.,빨리,천천히,열심히,열심히
초급,나는 어제 ___ 갔어요.,가게에,학교에,영화관에,영화관에
초급,___ 주세요.,밥,책,물,물
초급,나는 ___ 있어요.,가족,누나,형,형
초급,이것은 ___ 연필이에요.,너,제,그,제
초급,오늘은 날씨가 ___ 좋아요.,많이,정말,조금,정말
초급,나는 ___ 자고 싶어요.,내일,지금,어제,지금
초급,여기는 ___ 집이에요.,그들,우리,저,우리
초급,저는 아침마다 ___ 먹어요.,물을,밥을,책을,밥을
초급,고양이는 ___ 위에 있어요.,의자,책상,소파,책상
초급,나는 ___ 있어요.,펜이,지우개가,연필이,연필이
초급,___ 가고 싶어요.,서점에,학교에,집에,학교에
초급,커피를 ___ 마셨어요.,전혀,많이,조금,조금
중급,그 사람은 항상 약속을 ___. ,깨요,잊어요,지켜요,지켜요
중급,회의는 3시에 ___ 예정입니다.,끝날,만날,시작할,시작할
중급,내일 비가 ___ 몰라요.,왔는지,내리는,올지도,올지도
중급,그는 열심히 공부해서 시험에 ___. ,실패했어요,준비했어요,합격했어요,합격했어요
중급,이 문제는 생각보다 더 ___ 것 같아요.,쉬운,어려운,간단한,어려운
중급,그녀는 항상 남을 ___ 생각해요.,때문에,에게,위해,위해
중급,나는 친구와 ___ 간 적이 있어요.,공부를,여행을,약속을,여행을
중급,그는 한국에 오기 ___ 한국어를 배웠어요.,후에,동안,전에,전에
중급,이 일은 내가 ___ 하겠습니다.,가끔,직접,보통,직접
중급,이 책은 초보자에게 ___ 좋아요.,항상,특히,굉장히,특히
중급,우리는 내일 ___ 계획입니다.,머물,준비할,출발할,출발할
중급,그녀는 한국 문화를 ___ 공부했어요.,조금,깊이,얕게,깊и
중급,그는 항상 약속을 ___. ,잊어요,미뤄요,지켜요,지켜요
중급,문제를 ___ 해결해야 합니다.,가볍게,빠르게,느리게,빠르게
중급,나는 이 영화를 ___ 봤어요.,곧,이미,아직,이미
중급,우리는 문제를 ___ 논의했어요.,적게,충분히,조용히,충분히
중급,회의는 ___ 시작될 예정입니다.,다음에,늦게,곧,곧
중급,그녀는 나에게 ___ 연락했어요.,빠르게,간접,직접,직접
중급,그는 문제를 ___ 해결했습니다.,천천히,즉시,나중에,즉시
중급,이 프로젝트는 ___ 끝났습니다.,실패하게,부분적으로,성공적으로,성공적으로
고급,그는 회사에서 중요한 역할을 ___ 있습니다.,받고,맡고,가지고,맡고
고급,그녀는 자신의 의견을 ___ 말했습니다.,조용히,가볍게,분명히,분명히
고급,이 정책은 많은 사람들에게 ___ 영향을 미쳤습니다.,적은,지대한,간단한,지대한
고급,문제가 발생하면 즉시 ___ 바랍니다.,알려 주시기,보고해 주시기,말해 주시기,보고해 주시기
고급,이 단어는 문맥에 따라 ___ 다릅니다.,뜻이,발음이,의미가,의미가
고급,그는 상황을 ___ 파악했습니다.,대충,정확히,일부,정확히
고급,회의 내용은 모두 ___ 기록되었습니다.,급하게,간단하게,정확하게,정확하게
고급,그녀는 문제를 ___ 해결했습니다.,우연히,능숙하게,어렵게,능숙하게
고급,이 보고서는 ___ 분석이 필요합니다.,빠른,간단한,심층적인,심층적인
고급,우리는 이 문제를 함께 ___ 나가야 합니다.,의논해,이해해,해결해,해결해
고급,그의 설명은 매우 ___ 이해되었습니다.,복잡하게,명확하게,모호하게,명확하게
고급,그녀는 ___ 발표를 준비했습니다.,느린,철저한,가벼운,철저한
고급,문장을 ___ 구성하세요.,무작위로,논리적으로,단순하게,논리적으로
고급,그는 ___ 분석을 선호합니다.,임의의,체계적인,간략한,체계적인
고급,우리는 ___ 협력이 필요합니다.,불규칙한,일방적인,상호적인,상호적인
고급,그는 항상 문제를 ___ 해결합니다.,대충,논리적으로,즉흥적으로,논리적으로
고급,이 논문은 ___ 기준에 따라 작성되었습니다.,상업적,학문적,개인적,학문적
고급,그는 그 상황을 ___ 분석했습니다.,감정적으로,객관적으로,불완전하게,객관적으로
고급,이 기술은 ___ 상황에서 유용합니다.,간단한,무의미한,복잡한,복잡한
고급,그의 발표는 매우 ___ 전달되었습니다.,혼란스럽게,명료하게,애매하게,명료하게
